,date,R_m,CSAD,CSSD,StringencyIndex_WeightedAverage,C6E_Stay at home requirements,PopulationVaccinated,C2E_Workplace closing,C3E_Cancel public events,C4E_Restrictions on gatherings,C5E_Close public transport,C7E_Restrictions on internal movement,C8E_International travel controls
0,20200102,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,20200103,0.08200890143675811,1.0763792369288192,0.08986558062280774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,20200106,-0.007569456919769116,1.5106372816352862,0.12632816612141748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,20200107,0.7623890861103995,1.0393513156023897,0.08925089526915983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,20200108,-1.4699810038649495,1.3808293131318803,0.10777482843053103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,20200109,1.2207274911815211,1.2365642284458418,0.10771299047168867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,20200110,-0.10954372107590947,1.017425169760475,0.08843356633340459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,20200113,1.0267502572553806,1.271501379516779,0.11565451395775496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,20200114,-0.1881720582303761,1.1479002496751525,0.10086800650120589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,20200115,-0.6123181513333359,1.0261616254651513,0.09001548450195929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,20200116,-0.3999889955517199,0.9674199292873992,0.0904017469544201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,20200117,0.07782435262037112,1.0622174967613243,0.1033715155612952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,20200120,0.8649674529567992,1.6833837196175239,0.14746892303639145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,20200121,-1.597344331083719,1.4317492697801322,0.11732909594788869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,20200122,0.4661731560892698,1.4104590955610579,0.12477497837125973,26.39,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0
15,20200123,-3.202301988787028,1.514365416445265,0.12665644987470595,44.91,1.0,0.0,0.0,2.0,4.0,2.0,2.0,0.0
16,20200203,-8.977270758511592,2.069002336882231,0.17104063737322936,77.31,3.0,0.0,3.0,2.0,4.0,2.0,2.0,0.0
17,20200204,1.5852292494654483,2.901234600656273,0.2111366239339248,77.31,3.0,0.0,3.0,2.0,4.0,2.0,2.0,0.0
18,20200205,1.6437637528220528,1.631199132501683,0.1330073834433135,77.31,3.0,0.0,3.0,2.0,4.0,2.0,2.0,0.0
19,20200206,2.09670526164129,1.6192286822585786,0.132796557675202,77.31,3.0,0.0,3.0,2.0,4.0,2.0,2.0,0.0
20,20200207,0.28496336702482344,1.6341383263107363,0.136275456822824,77.31,3.0,0.0,3.0,2.0,4.0,2.0,2.0,0.0
21,20200210,0.7818024409366189,1.6750738216274599,0.13775760927603745,75.46,3.0,0.0,3.0,2.0,4.0,2.0,2.0,0.0
22,20200211,0.38543676902856683,1.4551687329014742,0.11982023503771157,75.46,3.0,0.0,3.0,2.0,4.0,2.0,2.0,0.0
23,20200212,1.1129955244216914,1.2367997353978457,0.11245287771172925,75.46,3.0,0.0,3.0,2.0,4.0,2.0,2.0,0.0
24,20200213,-0.5771468892081284,1.4142898356689517,0.12061997441071105,75.46,3.0,0.0,3.0,2.0,4.0,2.0,2.0,0.0
25,20200214,0.7183106555798158,1.4036791548365422,0.11953536231139965,75.46,3.0,0.0,3.0,2.0,4.0,2.0,2.0,0.0
26,20200217,2.7443920357595935,1.6530486769886092,0.1286761729585462,75.46,3.0,0.0,3.0,2.0,4.0,2.0,2.0,0.0
27,20200218,-0.07709022687282262,1.310852957463645,0.10753040855126914,75.46,3.0,0.0,3.0,2.0,4.0,2.0,2.0,0.0
